X,Y,STOP_ID,building_area,civic,commercial,residential,industrial,SN_cat,Crosstown_cat,Express_cat,Local_cat,Flyer_cat,NightOwl_cat,HighFreq_cat,InOut_cat,Clockwise_cat,hotline_1,utshuttle_cat,Special_cat,school_count,stadium_count,medInc,count,population,mean_on,r7,r801,r10,r20,r803,r300,typology,label,pred_xgb,xgb,Differences
-97.7259584,30.39266707,3014,4108680.388,0.028430592,0.347633485,0.01191539,0.241454079,1,others,0,others,0,0,0,0,0,0,0,0,1,1,64431,142,258,360.7492769,0,0,0,0,0,0,Rest,North Burnet,296.3593286,296.3593286,0
-97.74388378,30.39370321,3016,1865383.942,0.027194823,0.594064842,0.065119444,0.020904965,1,1,0,0,0,0,0,0,0,0,0,0,1,1,73237,71.6,385,449.0451131,0,0,0,0,0,0,Rest,Gateway,357.542367,357.542367,0
-97.7362424,30.39731643,3017,1553192.383,0.00957318,0.114458882,0.777938479,0.00713609,1,0,0,1,0,0,0,0,0,0,0,0,1,1,73237,71,396,128.475194,0,0,0,0,0,0,Rest,Gateway,189.2733366,189.2733366,0
-97.72222753,30.39112698,3020,1039616.876,0.031239245,0.31949822,0.005598683,0.342500193,1,others,0,others,0,0,0,0,0,0,0,0,1,1,64431,143.2,236,274.726122,0,0,0,0,0,0,Rest,North Burnet,285.086582,285.086582,0
-97.70877266,30.39238509,3021,1260301.996,0.003804618,0.0151236,0.897243949,0.061313717,0,1,0,0,0,0,0,0,0,0,0,0,1,1,64431,46.4,382,54.39104982,0,0,0,0,0,0,Rest,North Burnet,65.45685604,65.45685604,0
-97.7013914,30.38910057,3022,672980.3412,0.003138139,0.002618468,0.979926833,0.005831677,0,1,0,0,0,0,0,0,0,0,0,0,1,1,76395,46.4,479,60.49860307,0,0,0,0,0,0,Rest,Not Defined,67.95802194,67.95802194,0
-97.69795909,30.38712405,3023,676460.7849,0.003602545,0.001590123,0.985701796,0.0018398,0,1,0,0,0,0,0,0,0,0,0,0,5,1,76395,46.4,430,61.42495525,0,0,0,0,0,0,Rest,Not Defined,72.97812234,72.97812234,0
-97.71609,30.36371,3033,1039018.62,0.003413959,0.021804218,0.966156851,0.002768004,0,1,0,0,0,0,0,0,0,0,0,0,25,1,36806,65,318,279.8154553,0,0,0,0,0,0,Rest,North Austin Civic Association,292.9548276,292.9548276,0
-97.7036429,30.39928607,3036,1022600.733,0.002460111,0.005364593,0.965898596,0.007609189,1,0,0,0,others,0,others,0,0,0,0,0,8,1,58550,138,447,201.8218903,0,0,0,0,0,0,Rest,Not Defined,212.528687,212.528687,0
-97.69539295,30.41086582,3041,1554235.75,0.010323011,0.022325749,0.905282966,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,53770,132,501,372.128342,0,0,0,0,0,0,Rest,Not Defined,308.314421,308.314421,0
-97.70186705,30.41859241,3045,1088296.93,0.006744412,0.030411019,0.922403939,0.000817689,1,0,0,0,1,0,0,0,0,0,0,0,1,1,53770,7,670,6.148478158,0,0,0,0,0,0,Rest,Not Defined,7.39821374,7.39821374,0
-97.73038622,30.35833254,3060,931855.0772,0.00421885,0.053715887,0.925387095,0.002695906,others,others,0,others,0,0,0,0,0,0,0,0,10,1,57661,135.8,265,197.3530625,0,0,0,0,0,0,Rest,North Shoal Creek,205.3672859,205.3672859,0
-97.72958759,30.36050764,3063,1415364.404,0.003386186,0.047188838,0.937367201,0.002377148,others,others,0,others,0,0,0,0,0,0,0,0,11,1,55429,135.6,263,245.7124224,0,0,0,0,0,0,Rest,Wooten,235.69649,235.69649,0
-97.69847727,30.36026477,3075,1407662.468,0.006754086,0.037520443,0.919410009,0.002896635,1,0,0,1,0,0,0,0,0,0,0,0,30,1,38822,73.2,457,450.6266077,0,0,0,0,0,0,Rest,Georgian Acres,375.285537,375.285537,0
-97.686359,30.3816798,3080,1339192.064,0.008214757,0.120014933,0.747577192,0.071751337,1,0,0,1,0,0,0,0,0,0,0,0,10,1,40372,73.2,408,238.2848615,0,0,0,0,0,0,Rest,North Lamar,266.9408432,266.9408432,0
-97.68330046,30.37996792,3081,657520.0562,0.005139851,0.149551201,0.676725235,0.107426855,0,1,0,0,0,0,0,0,0,0,0,0,6,1,40372,46.4,422,87.18192645,0,0,0,0,0,0,Rest,North Lamar,82.13578831,82.13578831,0
-97.67840463,30.37763014,3082,497259.4795,0.004670793,0.106184338,0.665335698,0.11433087,0,1,0,0,0,0,0,0,0,0,0,0,4,1,40372,46.4,687,85.32992645,0,0,0,0,0,0,Rest,North Lamar,74.26303908,74.26303908,0
-97.67426721,30.37619308,3083,845212.6378,0.00436881,0.058224324,0.764680348,0.073066121,0,1,0,0,0,0,0,0,0,0,0,0,7,1,51893,46.4,923,72.25006187,0,0,0,0,0,0,Rest,Windsor Hills,69.65723283,69.65723283,0
-97.65988093,30.37856872,3087,430151.6714,0.001181595,0.000411451,0.942644999,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,58016,46.4,877,62.2511575,0,0,0,0,0,0,Rest,Not Defined,67.91694493,67.91694493,0
-97.66120773,30.38090625,3088,661589.1024,0.000848785,0.000378936,0.953995246,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,58016,46.4,979,60.69496895,0,0,0,0,0,0,Rest,Not Defined,74.12693639,74.12693639,0
-97.66231961,30.38410285,3089,562723.7183,0.000959428,0.001527989,0.97912225,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,58016,46.4,1066,63.42457096,0,0,0,0,0,0,Rest,Not Defined,61.11239853,61.11239853,0
-97.66098311,30.38754456,3090,724759.2741,0.001616506,0.001433193,0.976281732,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,58016,46.4,1018,62.83569162,0,0,0,0,0,0,Rest,Not Defined,63.48081679,63.48081679,0
-97.6596101,30.38981927,3091,982848.2892,0.002199021,0.002695368,0.972074688,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,58016,46.4,924,65.04451688,0,0,0,0,0,0,Rest,Not Defined,67.15392557,67.15392557,0
-97.77858979,30.20712627,3100,637537.5072,0.008400825,0.015713133,0.945433698,0.001080523,0,0,0,0,0,0,1,0,0,0,0,0,1,1,60919,126.4,304,474.9719097,0,0,0,0,0,0,Rest,West Congress,323.9631047,323.9631047,0
-97.78683596,30.2107777,3102,717984.3139,0.005431662,0.005372517,0.971154285,0.001660011,0,0,0,0,0,0,1,0,0,0,0,0,12,1,51853,126.4,393,460.6268778,0,0,0,0,0,0,Rest,South Manchaca,464.8913589,464.8913589,0
-97.79095557,30.21231789,3103,520006.6899,0.003847525,0.006648236,0.970982815,0.001796599,0,0,0,0,0,0,1,0,0,0,0,0,21,1,69191,126.6,364,459.0950622,0,0,0,0,0,0,Rest,South Manchaca,363.5365149,363.5365149,0
-97.7999085,30.21700183,3105,884990.3283,0.002858294,0.011894254,0.972285504,0.00124786,0,0,0,0,0,0,1,0,0,0,0,0,19,1,60433,126.6,201,346.7850845,0,0,0,0,0,0,Rest,Westgate,341.8431535,341.8431535,0
-97.80309638,30.21832667,3106,655277.6493,0.004905218,0.013376261,0.975286753,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,60433,126.6,209,346.3250223,0,0,0,0,0,0,Rest,Westgate,355.041718,355.041718,0
-97.80556262,30.22283836,3107,393498.1254,0.007858029,0.002458555,0.976303121,0,0,others,0,0,0,0,others,0,0,0,0,0,10,1,60433,191.4,241,251.091026,0,0,0,0,0,0,Rest,Westgate,262.2878983,262.2878983,0
-97.80326,30.21814,3109,665729.5578,0.004912986,0.013397445,0.975020915,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,68769,124.2,209,318.0917895,0,0,0,0,0,0,Rest,Garrison Park,327.1777175,327.1777175,0
